asset,market_key,market_title,tf_slug,ce_ts,bot_pnl,bot_spent,candidate_pnl,candidate_spent,candidate_trade_count,delta_pnl
eth,eth:m5:1775330700,"Ethereum Up or Down - April 4, 3:25PM-3:30PM ET",m5,2026-04-04T19:30:00+00:00,26.89,406.67,0.0,0.0,0,-26.89
eth,eth:m5:1775331000,"Ethereum Up or Down - April 4, 3:30PM-3:35PM ET",m5,2026-04-04T19:35:00+00:00,-62.48,583.02,-1.8810000000000002,6.27,1,60.599
eth,eth:m5:1775331300,"Ethereum Up or Down - April 4, 3:35PM-3:40PM ET",m5,2026-04-04T19:40:00+00:00,-30.69,499.91,0.0,0.0,0,30.69
eth,eth:m15:1775331000,"Ethereum Up or Down - April 4, 3:30PM-3:45PM ET",m15,2026-04-04T19:45:00+00:00,-5.64,469.43,0.0,0.0,0,5.64
eth,eth:m5:1775331600,"Ethereum Up or Down - April 4, 3:40PM-3:45PM ET",m5,2026-04-04T19:45:00+00:00,19.53,430.85,-5.65327868852459,6.27,1,-25.18327868852459
eth,eth:m5:1775331900,"Ethereum Up or Down - April 4, 3:45PM-3:50PM ET",m5,2026-04-04T19:50:00+00:00,-27.8,702.4,1.343571428571428,6.27,1,29.143571428571427
eth,eth:m5:1775332200,"Ethereum Up or Down - April 4, 3:50PM-3:55PM ET",m5,2026-04-04T19:55:00+00:00,190.02,820.74,0.0,0.0,0,-190.02
eth,eth:h1:1775329200,"Ethereum Up or Down - April 4, 3PM ET",h1,2026-04-04T20:00:00+00:00,27.98,1301.21,0.0,0.0,0,-27.98
eth,eth:m5:1775332500,"Ethereum Up or Down - April 4, 3:55PM-4:00PM ET",m5,2026-04-04T20:00:00+00:00,-15.05,119.77,0.0,0.0,0,15.05
eth,eth:m15:1775331900,"Ethereum Up or Down - April 4, 3:45PM-4:00PM ET",m15,2026-04-04T20:00:00+00:00,15.18,1077.31,0.0,0.0,0,-15.18
eth,eth:m5:1775332800,"Ethereum Up or Down - April 4, 4:00PM-4:05PM ET",m5,2026-04-04T20:05:00+00:00,-7.83,243.87,1.2742028985507252,6.28,1,9.104202898550724
eth,eth:m5:1775333100,"Ethereum Up or Down - April 4, 4:05PM-4:10PM ET",m5,2026-04-04T20:10:00+00:00,-10.37,222.82,0.0,0.0,0,10.37
eth,eth:m5:1775333400,"Ethereum Up or Down - April 4, 4:10PM-4:15PM ET",m5,2026-04-04T20:15:00+00:00,-29.18,217.35,0.0,0.0,0,29.18
eth,eth:m15:1775332800,"Ethereum Up or Down - April 4, 4:00PM-4:15PM ET",m15,2026-04-04T20:15:00+00:00,-12.46,213.13,0.0,0.0,0,12.46
eth,eth:m5:1775333700,"Ethereum Up or Down - April 4, 4:15PM-4:20PM ET",m5,2026-04-04T20:20:00+00:00,-9.62,235.46,0.0,0.0,0,9.62
eth,eth:m5:1775334000,"Ethereum Up or Down - April 4, 4:20PM-4:25PM ET",m5,2026-04-04T20:25:00+00:00,-2.28,110.21,0.0,0.0,0,2.28
eth,eth:m15:1775333700,"Ethereum Up or Down - April 4, 4:15PM-4:30PM ET",m15,2026-04-04T20:30:00+00:00,-2.93,69.93,0.0,0.0,0,2.93
eth,eth:m5:1775334300,"Ethereum Up or Down - April 4, 4:25PM-4:30PM ET",m5,2026-04-04T20:30:00+00:00,5.45,116.78,0.0,0.0,0,-5.45
eth,eth:m5:1775334600,"Ethereum Up or Down - April 4, 4:30PM-4:35PM ET",m5,2026-04-04T20:35:00+00:00,-11.08,214.82,0.0,0.0,0,11.08
eth,eth:m5:1775334900,"Ethereum Up or Down - April 4, 4:35PM-4:40PM ET",m5,2026-04-04T20:40:00+00:00,-19.35,261.16,0.0,0.0,0,19.35
eth,eth:m5:1775335200,"Ethereum Up or Down - April 4, 4:40PM-4:45PM ET",m5,2026-04-04T20:45:00+00:00,97.09,400.82,0.0,0.0,0,-97.09
eth,eth:m15:1775334600,"Ethereum Up or Down - April 4, 4:30PM-4:45PM ET",m15,2026-04-04T20:45:00+00:00,6.94,536.63,0.0,0.0,0,-6.94
eth,eth:m5:1775335500,"Ethereum Up or Down - April 4, 4:45PM-4:50PM ET",m5,2026-04-04T20:50:00+00:00,-0.71,317.16,0.0,0.0,0,0.71
eth,eth:m5:1775335800,"Ethereum Up or Down - April 4, 4:50PM-4:55PM ET",m5,2026-04-04T20:55:00+00:00,-2.02,279.67,0.0,0.0,0,2.02
eth,eth:m5:1775336100,"Ethereum Up or Down - April 4, 4:55PM-5:00PM ET",m5,2026-04-04T21:00:00+00:00,20.22,281.91,0.0,0.0,0,-20.22
eth,eth:h1:1775332800,"Ethereum Up or Down - April 4, 4PM ET",h1,2026-04-04T21:00:00+00:00,-123.36,1407.1,0.0,0.0,0,123.36
eth,eth:m15:1775335500,"Ethereum Up or Down - April 4, 4:45PM-5:00PM ET",m15,2026-04-04T21:00:00+00:00,-21.64,280.77,0.0,0.0,0,21.64
eth,eth:m5:1775336400,"Ethereum Up or Down - April 4, 5:00PM-5:05PM ET",m5,2026-04-04T21:05:00+00:00,47.47,416.35,0.0,0.0,0,-47.47
eth,eth:m5:1775336700,"Ethereum Up or Down - April 4, 5:05PM-5:10PM ET",m5,2026-04-04T21:10:00+00:00,-11.64,225.07,0.0,0.0,0,11.64
eth,eth:m5:1775337000,"Ethereum Up or Down - April 4, 5:10PM-5:15PM ET",m5,2026-04-04T21:15:00+00:00,26.35,167.02,0.0,0.0,0,-26.35
