tf,side,folder,fill_price,ask_at_fill,ask_1s,ask_2s,delta_fill_vs_ask,ask_drop_2s,spot
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.56,0.5,0.5,0.5,0.06000000000000005,0.0,71094.54
m5,Up,Bitcoin_Up_or_Down_-_April_13_805AM-810AM_ET,0.98,0.05,0.05,0.07,0.9299999999999999,0.020000000000000004,71094.54
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.59,0.6,0.61,0.61,-0.010000000000000009,0.010000000000000009,71094.54
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.31,0.41,0.41,0.41,-0.09999999999999998,0.0,71094.54
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.31,0.41,0.41,0.41,-0.09999999999999998,0.0,71094.54
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.31,0.41,0.41,0.41,-0.09999999999999998,0.0,71094.54
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.57,0.5,0.5,0.5,0.06999999999999995,0.0,71094.54
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.31,0.41,0.41,0.41,-0.09999999999999998,0.0,71094.54
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.31,0.48,0.43,0.41,-0.16999999999999998,-0.07,71086.75
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.3,0.53,0.5,0.48,-0.23000000000000004,-0.050000000000000044,71075.67
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.3,0.53,0.5,0.48,-0.23000000000000004,-0.050000000000000044,71075.67
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.3,0.53,0.5,0.48,-0.23000000000000004,-0.050000000000000044,71075.67
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.3,0.53,0.5,0.48,-0.23000000000000004,-0.050000000000000044,71075.67
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.3,0.53,0.5,0.48,-0.23000000000000004,-0.050000000000000044,71075.67
m15,Up,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.65,0.46,0.47,0.48,0.19,0.019999999999999962,71071.86
m15,Down,Bitcoin_Up_or_Down_-_April_13_800AM-815AM_ET,0.25,0.5,0.5,0.52,-0.25,0.020000000000000018,71082.0
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.58,0.47,0.47,0.47,0.10999999999999999,0.0,71082.0
h1,Up,Bitcoin_Up_or_Down_-_April_13_8AM_ET,0.59,0.47,0.47,0.47,0.12,0.0,71082.0
