asset,market_key,market_title,tf_slug,side,signal_ts,signed_open_pct,signed_move_30s_pct,ask_c,rule_key,entry_j,entry_ts,entry_price,size_usd,shares,exit_j,exit_ts,exit_price,exit_reason,won_up,won_side,pnl,return_pct
btc,btc:m15:1775841300,"Bitcoin Up or Down - April 10, 1:15PM-1:30PM ET",m15,UP,2026-04-10T17:19:08.286000+00:00,0.0719686697488978,-0.0148219228315841,72.0,btc|m15|Up,908,2026-04-10 17:19:08.286,0.72,16.299999999999997,22.638888888888886,,2026-04-10 17:29:58.507,,settlement,True,True,6.338888888888889,38.88888888888889
btc,btc:m15:1775844900,"Bitcoin Up or Down - April 10, 2:15PM-2:30PM ET",m15,DOWN,2026-04-10T18:18:36.334000+00:00,0.057930332823029,0.0163638823940447,65.0,btc|m15|Down,900,2026-04-10 18:18:36.334,0.65,11.2,17.23076923076923,,2026-04-10 18:29:59.746,,settlement,False,True,6.030769230769231,53.84615384615385
btc,btc:m15:1775845800,"Bitcoin Up or Down - April 10, 2:30PM-2:45PM ET",m15,DOWN,2026-04-10T18:33:34.269000+00:00,0.04531187849457,0.0118383619653152,63.0,btc|m15|Down,858,2026-04-10 18:33:34.269,0.63,11.2,17.777777777777775,,2026-04-10 18:44:59.976,,settlement,False,True,6.577777777777776,58.73015873015871
btc,btc:m15:1775846700,"Bitcoin Up or Down - April 10, 2:45PM-3:00PM ET",m15,UP,2026-04-10T18:51:10.429000+00:00,0.0482503755853059,0.0130769483830553,70.0,btc|m15|Up,1100,2026-04-10 18:51:10.429,0.7,16.299999999999997,23.285714285714285,,2026-04-10 18:59:59.663,,settlement,True,True,6.9857142857142875,42.857142857142875
btc,btc:m15:1775848500,"Bitcoin Up or Down - April 10, 3:15PM-3:30PM ET",m15,DOWN,2026-04-10T19:19:17.928000+00:00,0.0500028903009986,0.0120668357845797,66.0,btc|m15|Down,673,2026-04-10 19:19:17.928,0.66,11.2,16.96969696969697,,2026-04-10 19:29:58.384,,settlement,False,True,5.7696969696969695,51.515151515151516
btc,btc:m15:1775849400,"Bitcoin Up or Down - April 10, 3:30PM-3:45PM ET",m15,DOWN,2026-04-10T19:37:58.808000+00:00,0.0512076259635056,0.0224940935880302,59.0,btc|m15|Down,1796,2026-04-10 19:37:58.808,0.59,11.2,18.983050847457626,,2026-04-10 19:44:59.869,,settlement,False,True,7.783050847457627,69.49152542372882
btc,btc:m15:1775850300,"Bitcoin Up or Down - April 10, 3:45PM-4:00PM ET",m15,UP,2026-04-10T19:48:19.923000+00:00,0.0656376129294646,0.0217558253381411,70.0,btc|m15|Up,694,2026-04-10 19:48:19.923,0.7,16.299999999999997,23.285714285714285,,2026-04-10 19:59:59.861,,settlement,True,True,6.9857142857142875,42.857142857142875
btc,btc:m15:1775851200,"Bitcoin Up or Down - April 10, 4:00PM-4:15PM ET",m15,UP,2026-04-10T20:05:02.213000+00:00,0.0398027748610236,0.016972503997336,65.0,btc|m15|Up,1586,2026-04-10 20:05:02.213,0.65,16.299999999999997,25.076923076923073,,2026-04-10 20:14:59.996,,settlement,False,False,-16.299999999999997,-100.0
btc,btc:m15:1775851200,"Bitcoin Up or Down - April 10, 4:00PM-4:15PM ET",m15,DOWN,2026-04-10T20:07:08.989000+00:00,0.0638756023327277,0.0785678101373415,61.0,btc|m15|Down,1991,2026-04-10 20:07:08.989,0.61,11.2,18.360655737704917,,2026-04-10 20:14:59.996,,settlement,False,True,7.160655737704918,63.934426229508205
btc,btc:m15:1775852100,"Bitcoin Up or Down - April 10, 4:15PM-4:30PM ET",m15,UP,2026-04-10T20:18:42.918000+00:00,0.0398673019584908,0.0249307169096543,71.0,btc|m15|Up,829,2026-04-10 20:18:42.918,0.71,16.299999999999997,22.957746478873236,,2026-04-10 20:29:58.542,,settlement,True,True,6.657746478873239,40.845070422535215
